title,stars,text
Pantai Ujung Gelam,4,pantai cocok melihat sunset jaraknya lumayan jauh pusat kota jalan menuju pantai sepi menurun jangan terlalu lama pantai setelah matahari tenggelam jalanan jadi gelap sekali pasirnya putih lembut sekali pemandangan bagus 2 pohon kelapa legendnya sini banyak warung menyediakan gorengan minuman mie kelapa muda
Pantai Ujung Gelam,5,pantai ujung gelam karimunjawa sangat bagus sekali cocok untuj melihat sunset matahari tenggelam jadi kalau sore sangat ramai pantai nya smbersih banyak penjual minuman makanan banyak pemainan jetsky perhau foto drone sangat bagus spot foto
Pantai Ujung Gelam,5,bagus banget alloh pengen kesana ngga zonk sama sekali
Pantai Bobby,3,i couldnt say it was the worst but it was bad you had to pay for the entry there was plastic but the part that i did like was the swings
Pantai Bobby,5,sehr ruhig und schn leider auch sehr abgelegen mit auto oder moped zu erreichen ist bei einheimischen sehr beliebt
Pantai Bobby,5,pantai mengagumkan bersih nyamanbanyak spot foto menarikcocok acara sendiri maupun family ghateringyg mau d karimun wajib banget pantai bobby
Pantai Bobby,5,menikmati kopi
Pantai Bobby,5,sunrisenya cakepp anginnya sepoysepoy disini juga suasanya enak sunyiii pagipagi bengong disini ngopi enak inii
Pantai Bobby,5,sunrise pantai bobby karimunjawa keren banget pantainya bagus fasilitas jg cukup menarik
Pantai Bobby,5,salah satu pantai karimun jawa menikmati sunrise tiket masuk 10 k parkir motor 5 kpantai luas dibangun spot foto toilet tersedia akses jalan bagus
Pantai Bobby,5,kurang beruntung pas datang pagi niatnya mau lihat sunrise malah grimis hujanpantainya asri bersih sekali ombaknya tipis2 khas pantai utara jawapuas sekali menghabiskan waktu disini
Pantai Bobby,5,dengan 10k bisa menikmati view sebagus wah worth it sih yang open trip klo free tempat bisa jadi destinasi waktu senggang buat nge chill
Pantai Bobby,5,pantainya sepi adir nya halus bersih
Pantai Bobby,5,let me start by saying that pantai bobby is an absolute slice of paradise and the highlight of our karimun jawa trip the journey to get there a short and bumpy but fun ride from the main village already feels like an adventure but the moment you step onto the sand every single bump is forgotten this isnt your typical wide sprawling beach its a wonderfully intimate cove framed by lush green hills and ancient twisting trees that provide perfect natural shade the water is what dreams are made ofa breathtaking mosaic of crystalclear turquoise fading into a deeper brilliant blue its so transparent you can see small schools of fish darting around your ankles even before you wade in the sand is brilliantly white and soft a perfect contrast to the vibrant colors of the sea and sky we spent hours just floating in the calm bathwarm water feeling completely removed from the hustle of everyday life its a truly magical place that feels both pristine and peaceful
Pantai Bobby,4,view bagus pas sunrise
Pantai Bobby,5,pantai bobby bersih kids friendly lokasinya datar asyik banget lamalamaan sini
Pantai Bobby,5,pantainya bersih terawat punya vibes apik
Pantai Bobby,5,get the best sunrise in the beach just spend your idr 10000 if no use travel eo
Pantai Bobby,4,sepi tenang
Pantai Bobby,4,biaya 10k per orangview sunrise bagusjalan sini turun naik sudah paving block
Pantai Bobby,5,perjalanan pantai bobby penuh hutan cukup jauh daerah penduduk kalau kejar sunrise mending pake kendaraan aja
Pantai Bobby,5,gak usah naik gunung bisa lihat sunrise
Pantai Bobby,5,pikna plaa kokosy po 25k a do tego super najlepsze miejsce do snorklingu na karimunjawa na gwnej wyspie ktre nie wymaga wykupienia wycieczki nie widziaem wypoyczalni kajakw a szkoda bo mona by byo atwo dopyn do pobliskiej wysepki bylimy popoudniu i woda bya bardzo pytka nawet kilkadziesit metrw od play
Pantai Bobby,5,pantai andalan melihat sunrise
Pantai Bobby,5,sunrisenya polll mantapp
Pantai Bobby,4,pantainya bersih viewnya bagus terutama pagi hari
Pantai Bobby,5,keren view nya pantai nya bersih
Pantai Bobby,5,pantai bobby of course salah satu pantai karimun jawa bisa dibilang spot fotofoto orang suka ngontenin liburan sini terdapat banyak ayunanayunan digantung barisan pohonpohon kelapa pinggiran pantai bahkan juga ayunan lokasinya di airpantainya cantik bersih of course ramai banyak pengunjung
Pantai Bobby,5,ada tidak bagus view di dapatsemua cantik tiap sudut karimunjawa
Pantai Bobby,3,gorgeous beach definitely worth visiting for the atmosphere unfortunately there are three key arguments that speak against it we were there on the weekend and when the ferry arrived a lot of people came there just to take their pictures making it impossible to relax the water is extremely shallow if you want to swim there are way better options on karimjawa additionally there arent any beachbeds if you want to lay down you need to lay in the sand which is not a big deal but you should be aware of itgreat for taking pictures but for all other aspects there are better options nearby and around the island
Pantai Bobby,5,pantai aga sepi adeemmm pantai paling fav wkwkwk
Pantai Bobby,5,nice
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,nice view and the sea was clean
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,tebingnya cakep poll pemandangan bawah lautnya jelas banget tebing ditambah cahaya mantep butuh tracking 5 menit
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,salah 1 pantai paling cntik karimun jawaapalagi dr atas bukitnyaviewnya luar biasaga kalah sm pntai2 disekitarnyabaiknya ksini jgn pas air laut pasang krn jln mnuju ksana trgenang
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,hidden gems
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,harga masuk 10kbukan tipe pantai pasir tp lebih tebing pemandangannya bagus
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,kamera ku mampu menceritakan keindahannya masya allah
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,1,we had a very sad feeling after the huge amount of trash and plastic in such a paradise we mentioned this to the people running the place but the answer was that the sea is going to clean the trash i would totally recommend to go to the next beach called alano and avoidthis satu maybe in this way there is more consciouns about the gravity of the situation fee 10k totally not worth itvery sad
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,tempatnya enak tenang santuy mata dimanjakan pemandangan bagus banget cobain naik bukit anora trs snorkling ditepiannya banyak wisatawan asing seneng kesini
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai bukit bagus walaupun jauh kota karimunjawa cukup wort it di kunjungi
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai anora karimunjawa pantai banyak spot view surga hidden gem nya karimunjawa 8km dermaga kapal kedatangan pake motor lebih seru krn menuju lokasi jln nya sedikit offroad warungmusholahtoilet tiket masuk 10k orang penjualnya n tukang tiketnya ramah terkadang monyet hutan jg menikmati pantai
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,20 minutes scooter ride from main town of karimun to get these views you need to get to uphill hiking took us only about 4 minutes it was midday around 1130 so it was really hot and dry make sure you bring plenty of drinking water to stay hydrated not many shelter or shady area to hide from scorching sunseptember 2024rydv
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,indah sekali d pantai annora
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,stunning beach very clean and barely any people entry fee was 5000 rp per person
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai bersihnyaman buat anak2 ombak bersahabatview pantai gunung keren
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,ottimo posto per fare una pausa pranzo rilassarsi godere una bellissima vista e fare dello snorkeling il pesce alla griglia davvero ottimo ed abbondante al costo 23 la conduzione dei vari chioschetti familiare e sono tutti molto gentili ingresso e parcheggio all ombra per il motorino a 05 potrete approfittare delle sedie tavoli e sdrai artigianali in legno c un piccolo promontorio che si immerge nel mare dove fare una passeggiata 10 minuti
Pantai Batu Topeng,5,100100salah satu menurut terbaik karimun jawa
Pantai Batu Topeng,5,une plage propre avec du snorkelling et aussi du sable blanc des poufs parasol un bar de la musique le soir le coucher de soleil
Pantai Batu Topeng,5,great beach for snorkeling and watching the sunsetthere is a local beach club with drinks food and at least this time a djeasy to reach by scooter with enough parkingthe entry fee is 10000rp but it is for more than 1 visit limit unknown bean bags and parasol includedthe water is crystal clear and it stays very shallow for a long time
Pantai Batu Topeng,5,clearly the best overall beach on the islandthe beach and waters are very clean for the entrance fee of 10000 rupieh you get a lot of different seats and hammocks it is very quite during the day most people stay satu besch further west in the evening they play loud music which is something you should be aware of compared to the beaches on the eastern coast of karimunjawa the water is deeper here so it is very enjoyable to swim
Pantai Batu Topeng,5,best place to chill in evening
Pantai Batu Topeng,5,une des nombreuses belles plages facile daccs
Pantai Batu Topeng,5,gak banyak orang indo kesini banyakan orang asingbule menurutku bagus nyaman soalnya aku suka tempat gak terlalu ramai hehe
Pantai Batu Topeng,5,the best beach at karimunjawa island
Pantai Batu Topeng,5,tenang bersih ramah makanan enak cocoksemoga kedepan bayar pake aris uang tunai terbatas karimunjawa enjoy
Pantai Batu Topeng,5,best best best but they did not have restroom yet hopefully soon
Pantai Batu Topeng,5,bagus sekali sunset nya
Pantai Batu Topeng,5,suasana pantai tenang hamparan pasir putih menawan juga menikmati sunset
Pantai Batu Topeng,5,neta i poca gent perfecte per relaxarse i veure la posta de sol
Pantai Batu Topeng,5,i liked a lot this beach because it is less crowded and silent compared to sunset beach the water is clear and a bit deeper compared to the other beaches in the island which is great to swim furthermore in the biggest warung in the middle there is a lovely and sweet lady that cooks amazingsells coconut and she is always ready to help the beach is super clean and well keptthe italian family
Pantai Batu Topeng,5,5k lentre la plage est trs bien entretenue propre grande avec peu de monde quelques stands pour manger boire une coco des tables transats balanoires possibilit de faire du snorkeling parfaite pour le coucher de soleil
Pantai Batu Topeng,5,magnifiquetonn de voir si peu de monde beaucoup viennent pour le sunset mais sur le crneau 10h 16h on tait une dizaine maximum sur la plage la plus lest sur la plage principale le concours du selfie et des drones fatiguent vite donc nous navons pas regrett de nous loigner
Pantai Batu Topeng,5,satu of the hidden gems in karimunjawa its so quiet here white sands turquoise clear sea water it also has warong that sells snacks and drink at a bit pricey price
Pantai Batu Topeng,5,pantai batu topeng karimunjawa sangat bagus tujuan destinasi pulau karimunjawa pantai nya bersih biaya 5rborang
Pantai Batu Topeng,5,bersih harganya masuknya sangat terjangkau cuman 5k teduh viewnya bagus tambah cukup sepi jarang datangi turis letaknya cukup tersembunyi
Pantai Batu Topeng,5,great sunset view
Pantai Batu Topeng,5,trs joli et encore trs sauvage la petite taxe dentre de 30 centimes d est la bien venue si elle permet de maintenir la plage toute propre
Pantai Batu Topeng,5,plage propre eau claire et des transats en bamboo pour 5k lentre
Pantai Batu Topeng,1,plage payante de 5kpersonne alors que lon paye dj 150k dentre au port en tant que touriste pour le parc national je trouve cela dommage de devoir payer en plus
Pantai Batu Topeng,5,bellissima
Pantai Batu Topeng,3,spiaggia carina ma l entrata 25k rp una storia esagerata dopo aver pagato l entrata al parco la spiaggia vicina solo 5k rp a ps pi carina e piena servizi ristorantini e lettini con ombrelloni
Pantai Batu Topeng,5,an amazing peaceful place and the owner of the little warung will remain always in my heart
Pantai Batu Topeng,5,pantai nya sepi banget d akses motor datang jam 10 pagi msih sepi banget bagus ubtuk viewnya jalan kaki ke pantai tanjung gelam
Pantai Batu Topeng,3,kalo pagisiang masii sepi gd retribusi kl sore retribusinya 25k per orang
Pantai Batu Topeng,5,datang sini sendiri travel jalanannya cukup curam berbatu tulisan tiket masuk 25rborang ketika datang ga petugas minta bayar pantainya bagus meskipun ga sepenuhnya bersih masih cukup terawat cenderung sepi ujung pantai ada jalan setapak menghubungkan sunset beach pantai ujung gelam
Pantai Batu Topeng,4,collegata direttamente a piedi alla pi nota sunset beach solo che qui non si paga il parcheggio questa spiaggia una piccola chicca sabbia bianca silenziosa e alberata offerta barristoranti scarna spesso risultano chiusi o hanno gi terminato tutto permane anche qui la grande piaga del sudest asiatico rifiuti un po ovunque s anche in acqua non meravigliatevi se troverete spazzatura ovunque anche in acqua purtroppo vi pochissima sensibilit verso il problema in questa area del mondo resta comunque una spiaggia bellissima e molto godibile
Pantai Batu Topeng,5,lokasi sunset terbaik karimunjawa panorama mengagumkan lokasi teduh fasilitas lengkap terdapat musholla tempat bilas free bean bag akses mudah parkir yang cukupperfect
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,quiet and clean the people are friendly walk up the hill to get amazing water photos not the best swimming beach but great for eating and resting in the shade
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,panorama view bagus dibagian timur karimunjawa
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,keren
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,2,grandissima delusione spiaggia pratic inesistente mare orrendo
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai karimunjawa antimainstream
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,tempatnya bagusss masih bersih
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pemandangan bukitnya epic
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,tempatnya indah pantainya bersih penduduknya ramah
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,2,hill with nice views incredible terrible dirty beach full of trash sampah plastic mana mana fee 10k
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai annora merupakan salah satu pantai kepulauan karimunjawa letaknya tersembunyi aksesnya sedikit sulit melintasi jalanan pasir bergelombang perlu sedikit trekking sejalur akses menuju pantai alano
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,1,una devastazione rifiuti sparsi ovunque spiaggia non mantenuta
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,3,nice place to take some picture from the peak but definitely not for sunbathing
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai bisa dikatakan jarang dikunjungi wisatawan padahal dipantai ada bukit view nya super cantik
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,sunrise beach pasir putih pantai relatif sepi masuk jauh dr jalan aspal melalui jalan perkampungan sdh beton sebagian jalan tanah
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,keren abisssw
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,kesini buat liat indahnya laut karimun jawa naik bukit dikit 200 meter pas udh diatas lsg ilang capeknya masuknya 10rborg anak kecil ga diitung
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,sebaiknnya jangan kemari air laut pasang jalan menuju pantai bersisian pantai laut menggenangi jalan pasang menutup akses jalan menjadikannya gembur ban kendaraan rawan terjebak pasirnamun umum pantai menarik dikunjungi ayunan gazebo warungwarung disekitar pantai menyediakan cukup camilan berlamalama tempat inijika punya waktu longgar coba mendaki bukit pemandangan laut lepas batubatu karang membentuk bukit menjadikan tempat tidak kalah fotogenik meskipun mencapainya dibutuhkan perjuangan ekstra
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,3,hariluk lukminta
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,nature
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai annora biasa aja naik bukit deh viewnya bagus karang2 gazebo banyak angin kalo kelamaan masuk angin pernah syuting pake drone sini
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,nyaman sangat cocok berlibur
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai indah motor masuk tepi pantai
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,bening banget inimah beuh
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,3,sayangnya pantai kurang terawat pasirnya kuning terletak sebelah barat ke utara dr karimun jawa bisa menikmati pemandangan dr atas bukit
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,terdapat area santai bangku ayunan lengkap warung makan khas jajanan pantai menariknya annora terdapat bukit tengahtengah laut mendaki melihat laut atas bukit seolah menemukan pantaipantai dari beberapa sisi lereng bukitnya yang mandi pantai disarankan penduduk setempat datang setelah pukul 3 sore air laut surut terdapat daratan baru diagaktengah laut
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,spot pertama dikunjungi menginjakkan kaki pulau karimunjawa pantai nya unik bersih tertata rapi biaya 10korang fasilitas parkir motor mobil luas toilet bersih warung2 penjual makanan minuman tersedia area pantainya ditata rapi banyak bangku duduk kayu ayunan banyak tersebarspot unik lainnya bukit love annora hill sebuah tanjung kecil view lautan lepas tenang disini view lautnya hijau tosca jernih sayangnya diujung sini banyak terdapat sampah bekas pengunjung datang padahal disediakan tempat sampah semoga kedepannya pengunjung sadar kebersihan pantai cantik
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,pantainya bagus naik bukit pemandangannya menyejukkan mata mas2 pemandu kmrin nemenin naik bukit buat foto2 kalo mau beli gorengan warung tanya harga dulu gaes 15 keping gorengan tempe 1 gelas chocolatos masa dihitung 50ribu
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,akses dari jalan utama karimunjawa lalu masuk jalan makadam terus tanah pasir pantai retribusi murah banget sy lupa 510rb masuknyadi pantai tsb bukit naiknya gak jauh kok bukit jg gak terlalu tinggi tp pemandangan oke bgt kl dr atas bukit kata guide lokal kalau mau foto bukit baiknya mulai dr jam12 air terlihat lebih biru tp memang sepertinya kebanyakan pantai karimunjawa garis pantainya naik entah krn pemanasan global krn memang sedang pasang tp dpt cerita jg dr ibu jaga warung pantai anora akses jalan lbh ketutup pasir angin ombak besar bbrp waktu lalupantainya sepi bersih sy kemarin blm sempat ciblon cuaca krg mendukungoh iya salah satu foto untk akses masuk pantai anora ada jalan batu jg jd perlu hati2 jg dlm berkendara
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,belle plage mais trs peu de fond donc impossible de nager
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,good
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai seputar pulau karimunjawa mungkin kurang populer menawarkan pemandangan pantai laut biru bebatuan karang alami mempesonaboleh jadi mungkin transportasi sini memerlukan perjuangan ringan menjadikan pantai kerap sepi lengangbagaimana juga tekad sejenak terombangambing gelombang perahu boat sampai kesini tak membuat orang mau berkungjung sinipadahal saja perjuangan tidak mengkhiaati hasil berakitrakit hulu nikmati pemandangan indah pantai annora kemudian
Pantai Batu Topeng,5,tempatnya super cozyy nikmatin sunset tiduran bantal pinggir pantai suka banget gak terlalu ramai cuma bikin trauma jalan arah pantainya bebatuan curam mau ketawa sama nangis kalau inget hahaha see batu topeng
Pantai Batu Topeng,1,terlalu mengada2 tiket masuknya 25k
Pantai Batu Topeng,5,good place to catch sunset at the island compare to the other beach that i visited this beach has the higher ticket fee of entrance but also has good service ex beanbag included and the beach was not to crowdedbut unfortunately lot of mosquitos came out after the sunset confirmed by the lady beach guard just because of the seasonality hopefully i could visit it again and no more mosquitos
Pantai Batu Topeng,5,mantaap
Pantai Batu Topeng,4,nan
Pantai Batu Topeng,5,clean and beautiful beach
Pantai Batu Topeng,5,pemandangan sangat alami lautnya sangat jernih snorkling langsung pinggir pantai
Pantai Batu Topeng,5,wonderful indonesian
Pantai Batu Topeng,5,pantai enak bermain air bersama anakanak ombaknya tenang apabila masuk beach club bayar 25000 per orang
Pantai Batu Topeng,5,beautiful well kept beach this is a private beach and at the time of writing costs 25k rupiah to enter the area which the beach sits on contains a shaded bar set about 15 metres back from the shore the shore is lined with beanbags and umbrellas get here early before 2 and you may have the beach to yourself as i did as the afternoon progresses more people show up
Pantai Batu Topeng,5,katanya pantai 24jm berpesta ria bareng2 tementempatnya nyaman n banyak menu yang tawarkan di sinigood luck
Pantai Batu Topeng,5,beautiful escape
Pantai Batu Topeng,5,tempat sangat indah
Pantai Batu Topeng,5,insanely beautiful beach the hanging palmtrees turquoise water super soft sand incredible and we were almost alone the entrance fee is 25k per person but you get a nice bean bag so you can relax the restaurant offers all kinds of drinks and food it was a bit expensive in my opinion
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,senang banget kesinipantainya bersih bening banget buat foto cocok banget pemandangannya pantai juga bukitdari annora ke pantai gosong naik kapalperahu kecil yang mau renang
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,pantainya bagus cuma aksesnya pakai motor susah kalau pakai mobil
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,di google map pake bahasa thailand sanskerta jadi bingung apa nama pantainya
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,yes please
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,syahhduuu bangettt pas kesana sore hari cuaca mendukung hujan asyik buat tongki tongki alami
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,pantainya bersih tiket masuknya 10rb aku kesana bln oktober 2021 pantai nya deket alunalun akan petunjuk arahnya jalannya sebagian udah bagus coraspal sebagian belum aseli pasir pantaidisana warung jual mie gorengan anget kelapa muda kacang metedisana ayunan adanya video to ngga di upload huhuu tempat solat tempat parkirini aku fotonya diatas tebing aslinya lebih buagus naik tebingnya 5 menitan aku saranin pake sepatu baju nyaman hehe
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,tempatnya bener2 asripantai tenangbirudtg 2x kesini msh ga bosenpgn dtg lagikmrn pas annora waktu nyari sunrise
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai anora merupakan salah satu destinasi wajib kunjungi berwisata karimunjawa keindahan degradasi warna lautnya sangat bagus kita berada atas tebingnya
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai harus didatangi pulau karimunnya
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,tempatnya bagus nyaman
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai indah bersih terawat
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,amazing places wow
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,bagus bagus buat photography mantap
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,annora beach is pretty gorgeous it has white and grey sand but mostly grey the locals sell foods and drinks such as grilled fish fried banana mendoan bakwan and kelapa muda coconut there are two bathrooms not really clean but usable you can rent a motorcycle from the locals to ride around annora beach it has swings to play or take a photo sadly the beach is not as clean as bobby beach there are trashes laying aroundbut overall its a good beach for vacation and resting not for sunbathing would recommend it to others
