title,stars,text,sentimen_bert,sentimen
Pantai Tanjung Gelam,5,part of karimun jawa island and this place most beautiful everywhere you see w view sunset,positive,positive
Pantai Tanjung Gelam,5,baguus banget pantainya icon pohon kelapa melengkung menjadi unik utk foto2 biaya idr 10000 pasirnya bagus lembutenak jg buat berenang lihat sunset,positive,positive
Pantai Tanjung Gelam,5,amazing karimunjawa island,neutral,neutral
Pantai Tanjung Gelam,5,pantai pohon kelapa miringdan sunset bagus,positive,positive
Pantai Tanjung Gelam,5,a nice place to enjoy the sunset,positive,positive
Pantai Tanjung Gelam,5,identik kelapa miring sama sunsetnya besttt banget,positive,positive
Pantai Tanjung Gelam,5,best place to chill because theres a lot of trees,positive,positive
Pantai Tanjung Gelam,2,kelapa mahal,negative,negative
Pantai Tanjung Gelam,5,pantai buat menikmati sunsettapi pas kesini pagi jadi ga sunset deh,positive,positive
Pantai Tanjung Gelam,5,sunrise sunset karimun emg gaperlu raguin tp kalo disini sunset nya cantikbgttttt,positive,positive
Pantai Tanjung Gelam,4,very commercialized beach a lot of activities and food are available of course they all come with a price food and drinks are more expensive than in town entrance tickets are 10k toilets are mostly broken so better pee in the sea,positive,positive
Pantai Ujung Gelam,5,maasyaa allooh alhamdulillaah msh asri,positive,positive
Pantai Ujung Gelam,5,nyaman airnya jernih pagi banyak pengunjungmenyediakan beberapa wahana berenang pantai jetski banana boat rolling donuts kano,positive,positive
Pantai Ujung Gelam,5,keren pantainya pohon kelapa miring iconic biasa dipakai orang2 foto manjat gitu cuman kalo kesini pas rame orang mau foto pohon kelapanya mesti antri tp bagus hasilnya,positive,positive
Pantai Ujung Gelam,5,makasimalkn perancanaan utamakan umkm setempat,neutral,neutral
Pantai Ujung Gelam,5,indah sekali,positive,positive
Pantai Ujung Gelam,5,une plage trs agrable avec mme des poissons en snorkelingpouf confortable avec les consommations pas chres accs en scooter parasol musique le soir trs convivial,positive,positive
Pantai Ujung Gelam,5,kalau mau menikmati sunset yah disini,positive,positive
Pantai Ujung Gelam,5,pantai nan eksotis karimunjawa batu karang pasir putih sangat landai ombak kecil spot menikmati sunset berenang permainan banana boat naik perahu berjemur sekedar bermain pasir cocok liburan bersama teman keluarga,positive,positive
Pantai Ujung Gelam,5,spot sunset,neutral,neutral
Pantai Ujung Gelam,5,pantai wajib kalo karimun jawa wkwk spot foto kelapa miring bekas ratusan ribu umat,positive,positive
Pantai Ujung Gelam,4,pantai cocok melihat sunset jaraknya lumayan jauh pusat kota jalan menuju pantai sepi menurun jangan terlalu lama pantai setelah matahari tenggelam jalanan jadi gelap sekali pasirnya putih lembut sekali pemandangan bagus 2 pohon kelapa legendnya sini banyak warung menyediakan gorengan minuman mie kelapa muda,positive,positive
Pantai Ujung Gelam,5,pantai ujung gelam karimunjawa sangat bagus sekali cocok untuj melihat sunset matahari tenggelam jadi kalau sore sangat ramai pantai nya smbersih banyak penjual minuman makanan banyak pemainan jetsky perhau foto drone sangat bagus spot foto,positive,positive
Pantai Ujung Gelam,5,bagus banget alloh pengen kesana ngga zonk sama sekali,positive,positive
Pantai Bobby,3,i couldnt say it was the worst but it was bad you had to pay for the entry there was plastic but the part that i did like was the swings,negative,negative
Pantai Bobby,5,sehr ruhig und schn leider auch sehr abgelegen mit auto oder moped zu erreichen ist bei einheimischen sehr beliebt,neutral,neutral
Pantai Bobby,5,pantai mengagumkan bersih nyamanbanyak spot foto menarikcocok acara sendiri maupun family ghateringyg mau d karimun wajib banget pantai bobby,positive,positive
Pantai Bobby,5,menikmati kopi,positive,positive
Pantai Bobby,5,sunrisenya cakepp anginnya sepoysepoy disini juga suasanya enak sunyiii pagipagi bengong disini ngopi enak inii,positive,positive
Pantai Bobby,5,sunrise pantai bobby karimunjawa keren banget pantainya bagus fasilitas jg cukup menarik,positive,positive
Pantai Bobby,5,salah satu pantai karimun jawa menikmati sunrise tiket masuk 10 k parkir motor 5 kpantai luas dibangun spot foto toilet tersedia akses jalan bagus,positive,positive
Pantai Bobby,5,kurang beruntung pas datang pagi niatnya mau lihat sunrise malah grimis hujanpantainya asri bersih sekali ombaknya tipis2 khas pantai utara jawapuas sekali menghabiskan waktu disini,positive,positive
Pantai Bobby,5,dengan 10k bisa menikmati view sebagus wah worth it sih yang open trip klo free tempat bisa jadi destinasi waktu senggang buat nge chill,positive,positive
Pantai Bobby,5,pantainya sepi adir nya halus bersih,positive,positive
Pantai Bobby,5,let me start by saying that pantai bobby is an absolute slice of paradise and the highlight of our karimun jawa trip the journey to get there a short and bumpy but fun ride from the main village already feels like an adventure but the moment you step onto the sand every single bump is forgotten this isnt your typical wide sprawling beach its a wonderfully intimate cove framed by lush green hills and ancient twisting trees that provide perfect natural shade the water is what dreams are made ofa breathtaking mosaic of crystalclear turquoise fading into a deeper brilliant blue its so transparent you can see small schools of fish darting around your ankles even before you wade in the sand is brilliantly white and soft a perfect contrast to the vibrant colors of the sea and sky we spent hours just floating in the calm bathwarm water feeling completely removed from the hustle of everyday life its a truly magical place that feels both pristine and peaceful,positive,positive
Pantai Bobby,4,view bagus pas sunrise,positive,positive
Pantai Bobby,5,pantai bobby bersih kids friendly lokasinya datar asyik banget lamalamaan sini,positive,positive
Pantai Bobby,5,pantainya bersih terawat punya vibes apik,positive,positive
Pantai Bobby,5,get the best sunrise in the beach just spend your idr 10000 if no use travel eo,neutral,neutral
Pantai Bobby,4,sepi tenang,negative,negative
Pantai Bobby,4,biaya 10k per orangview sunrise bagusjalan sini turun naik sudah paving block,positive,positive
Pantai Bobby,5,perjalanan pantai bobby penuh hutan cukup jauh daerah penduduk kalau kejar sunrise mending pake kendaraan aja,positive,positive
Pantai Bobby,5,gak usah naik gunung bisa lihat sunrise,positive,positive
Pantai Bobby,5,pikna plaa kokosy po 25k a do tego super najlepsze miejsce do snorklingu na karimunjawa na gwnej wyspie ktre nie wymaga wykupienia wycieczki nie widziaem wypoyczalni kajakw a szkoda bo mona by byo atwo dopyn do pobliskiej wysepki bylimy popoudniu i woda bya bardzo pytka nawet kilkadziesit metrw od play,positive,positive
Pantai Bobby,5,pantai andalan melihat sunrise,positive,positive
Pantai Bobby,5,sunrisenya polll mantapp,positive,positive
Pantai Bobby,4,pantainya bersih viewnya bagus terutama pagi hari,positive,positive
Pantai Bobby,5,keren view nya pantai nya bersih,positive,positive
Pantai Bobby,5,pantai bobby of course salah satu pantai karimun jawa bisa dibilang spot fotofoto orang suka ngontenin liburan sini terdapat banyak ayunanayunan digantung barisan pohonpohon kelapa pinggiran pantai bahkan juga ayunan lokasinya di airpantainya cantik bersih of course ramai banyak pengunjung,positive,positive
Pantai Bobby,5,ada tidak bagus view di dapatsemua cantik tiap sudut karimunjawa,positive,positive
Pantai Bobby,3,gorgeous beach definitely worth visiting for the atmosphere unfortunately there are three key arguments that speak against it we were there on the weekend and when the ferry arrived a lot of people came there just to take their pictures making it impossible to relax the water is extremely shallow if you want to swim there are way better options on karimjawa additionally there arent any beachbeds if you want to lay down you need to lay in the sand which is not a big deal but you should be aware of itgreat for taking pictures but for all other aspects there are better options nearby and around the island,positive,positive
Pantai Bobby,5,pantai aga sepi adeemmm pantai paling fav wkwkwk,positive,positive
Pantai Bobby,5,nice,negative,negative
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,nice view and the sea was clean,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,tebingnya cakep poll pemandangan bawah lautnya jelas banget tebing ditambah cahaya mantep butuh tracking 5 menit,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,salah 1 pantai paling cntik karimun jawaapalagi dr atas bukitnyaviewnya luar biasaga kalah sm pntai2 disekitarnyabaiknya ksini jgn pas air laut pasang krn jln mnuju ksana trgenang,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,hidden gems,neutral,neutral
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,harga masuk 10kbukan tipe pantai pasir tp lebih tebing pemandangannya bagus,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,kamera ku mampu menceritakan keindahannya masya allah,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,1,we had a very sad feeling after the huge amount of trash and plastic in such a paradise we mentioned this to the people running the place but the answer was that the sea is going to clean the trash i would totally recommend to go to the next beach called alano and avoidthis satu maybe in this way there is more consciouns about the gravity of the situation fee 10k totally not worth itvery sad,negative,negative
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,tempatnya enak tenang santuy mata dimanjakan pemandangan bagus banget cobain naik bukit anora trs snorkling ditepiannya banyak wisatawan asing seneng kesini,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai bukit bagus walaupun jauh kota karimunjawa cukup wort it di kunjungi,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai anora karimunjawa pantai banyak spot view surga hidden gem nya karimunjawa 8km dermaga kapal kedatangan pake motor lebih seru krn menuju lokasi jln nya sedikit offroad warungmusholahtoilet tiket masuk 10k orang penjualnya n tukang tiketnya ramah terkadang monyet hutan jg menikmati pantai,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,20 minutes scooter ride from main town of karimun to get these views you need to get to uphill hiking took us only about 4 minutes it was midday around 1130 so it was really hot and dry make sure you bring plenty of drinking water to stay hydrated not many shelter or shady area to hide from scorching sunseptember 2024rydv,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,indah sekali d pantai annora,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,stunning beach very clean and barely any people entry fee was 5000 rp per person,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai bersihnyaman buat anak2 ombak bersahabatview pantai gunung keren,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,ottimo posto per fare una pausa pranzo rilassarsi godere una bellissima vista e fare dello snorkeling il pesce alla griglia davvero ottimo ed abbondante al costo 23 la conduzione dei vari chioschetti familiare e sono tutti molto gentili ingresso e parcheggio all ombra per il motorino a 05 potrete approfittare delle sedie tavoli e sdrai artigianali in legno c un piccolo promontorio che si immerge nel mare dove fare una passeggiata 10 minuti,neutral,neutral
Pantai Batu Topeng,5,100100salah satu menurut terbaik karimun jawa,positive,positive
Pantai Batu Topeng,5,une plage propre avec du snorkelling et aussi du sable blanc des poufs parasol un bar de la musique le soir le coucher de soleil,positive,positive
Pantai Batu Topeng,5,great beach for snorkeling and watching the sunsetthere is a local beach club with drinks food and at least this time a djeasy to reach by scooter with enough parkingthe entry fee is 10000rp but it is for more than 1 visit limit unknown bean bags and parasol includedthe water is crystal clear and it stays very shallow for a long time,positive,positive
Pantai Batu Topeng,5,clearly the best overall beach on the islandthe beach and waters are very clean for the entrance fee of 10000 rupieh you get a lot of different seats and hammocks it is very quite during the day most people stay satu besch further west in the evening they play loud music which is something you should be aware of compared to the beaches on the eastern coast of karimunjawa the water is deeper here so it is very enjoyable to swim,positive,positive
Pantai Batu Topeng,5,best place to chill in evening,positive,positive
Pantai Batu Topeng,5,une des nombreuses belles plages facile daccs,negative,negative
Pantai Batu Topeng,5,gak banyak orang indo kesini banyakan orang asingbule menurutku bagus nyaman soalnya aku suka tempat gak terlalu ramai hehe,positive,positive
Pantai Batu Topeng,5,the best beach at karimunjawa island,positive,positive
Pantai Batu Topeng,5,tenang bersih ramah makanan enak cocoksemoga kedepan bayar pake aris uang tunai terbatas karimunjawa enjoy,positive,positive
Pantai Batu Topeng,5,best best best but they did not have restroom yet hopefully soon,negative,negative
Pantai Batu Topeng,5,bagus sekali sunset nya,positive,positive
Pantai Batu Topeng,5,suasana pantai tenang hamparan pasir putih menawan juga menikmati sunset,positive,positive
Pantai Batu Topeng,5,neta i poca gent perfecte per relaxarse i veure la posta de sol,neutral,neutral
Pantai Batu Topeng,5,i liked a lot this beach because it is less crowded and silent compared to sunset beach the water is clear and a bit deeper compared to the other beaches in the island which is great to swim furthermore in the biggest warung in the middle there is a lovely and sweet lady that cooks amazingsells coconut and she is always ready to help the beach is super clean and well keptthe italian family,positive,positive
Pantai Batu Topeng,5,5k lentre la plage est trs bien entretenue propre grande avec peu de monde quelques stands pour manger boire une coco des tables transats balanoires possibilit de faire du snorkeling parfaite pour le coucher de soleil,positive,positive
Pantai Batu Topeng,5,magnifiquetonn de voir si peu de monde beaucoup viennent pour le sunset mais sur le crneau 10h 16h on tait une dizaine maximum sur la plage la plus lest sur la plage principale le concours du selfie et des drones fatiguent vite donc nous navons pas regrett de nous loigner,positive,positive
Pantai Batu Topeng,5,satu of the hidden gems in karimunjawa its so quiet here white sands turquoise clear sea water it also has warong that sells snacks and drink at a bit pricey price,positive,positive
Pantai Batu Topeng,5,pantai batu topeng karimunjawa sangat bagus tujuan destinasi pulau karimunjawa pantai nya bersih biaya 5rborang,positive,positive
Pantai Batu Topeng,5,bersih harganya masuknya sangat terjangkau cuman 5k teduh viewnya bagus tambah cukup sepi jarang datangi turis letaknya cukup tersembunyi,positive,positive
Pantai Batu Topeng,5,great sunset view,negative,negative
Pantai Batu Topeng,5,trs joli et encore trs sauvage la petite taxe dentre de 30 centimes d est la bien venue si elle permet de maintenir la plage toute propre,positive,positive
Pantai Batu Topeng,5,plage propre eau claire et des transats en bamboo pour 5k lentre,positive,positive
Pantai Batu Topeng,1,plage payante de 5kpersonne alors que lon paye dj 150k dentre au port en tant que touriste pour le parc national je trouve cela dommage de devoir payer en plus,positive,positive
Pantai Batu Topeng,5,bellissima,neutral,neutral
Pantai Batu Topeng,3,spiaggia carina ma l entrata 25k rp una storia esagerata dopo aver pagato l entrata al parco la spiaggia vicina solo 5k rp a ps pi carina e piena servizi ristorantini e lettini con ombrelloni,neutral,neutral
Pantai Batu Topeng,5,an amazing peaceful place and the owner of the little warung will remain always in my heart,positive,positive
Pantai Batu Topeng,5,pantai nya sepi banget d akses motor datang jam 10 pagi msih sepi banget bagus ubtuk viewnya jalan kaki ke pantai tanjung gelam,positive,positive
Pantai Batu Topeng,3,kalo pagisiang masii sepi gd retribusi kl sore retribusinya 25k per orang,neutral,neutral
Pantai Batu Topeng,5,datang sini sendiri travel jalanannya cukup curam berbatu tulisan tiket masuk 25rborang ketika datang ga petugas minta bayar pantainya bagus meskipun ga sepenuhnya bersih masih cukup terawat cenderung sepi ujung pantai ada jalan setapak menghubungkan sunset beach pantai ujung gelam,positive,positive
Pantai Batu Topeng,4,collegata direttamente a piedi alla pi nota sunset beach solo che qui non si paga il parcheggio questa spiaggia una piccola chicca sabbia bianca silenziosa e alberata offerta barristoranti scarna spesso risultano chiusi o hanno gi terminato tutto permane anche qui la grande piaga del sudest asiatico rifiuti un po ovunque s anche in acqua non meravigliatevi se troverete spazzatura ovunque anche in acqua purtroppo vi pochissima sensibilit verso il problema in questa area del mondo resta comunque una spiaggia bellissima e molto godibile,positive,positive
Pantai Batu Topeng,5,lokasi sunset terbaik karimunjawa panorama mengagumkan lokasi teduh fasilitas lengkap terdapat musholla tempat bilas free bean bag akses mudah parkir yang cukupperfect,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,quiet and clean the people are friendly walk up the hill to get amazing water photos not the best swimming beach but great for eating and resting in the shade,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,panorama view bagus dibagian timur karimunjawa,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,keren,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,2,grandissima delusione spiaggia pratic inesistente mare orrendo,neutral,neutral
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai karimunjawa antimainstream,negative,negative
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,tempatnya bagusss masih bersih,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pemandangan bukitnya epic,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,tempatnya indah pantainya bersih penduduknya ramah,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,2,hill with nice views incredible terrible dirty beach full of trash sampah plastic mana mana fee 10k,neutral,neutral
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai annora merupakan salah satu pantai kepulauan karimunjawa letaknya tersembunyi aksesnya sedikit sulit melintasi jalanan pasir bergelombang perlu sedikit trekking sejalur akses menuju pantai alano,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,1,una devastazione rifiuti sparsi ovunque spiaggia non mantenuta,neutral,neutral
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,3,nice place to take some picture from the peak but definitely not for sunbathing,negative,negative
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai bisa dikatakan jarang dikunjungi wisatawan padahal dipantai ada bukit view nya super cantik,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,sunrise beach pasir putih pantai relatif sepi masuk jauh dr jalan aspal melalui jalan perkampungan sdh beton sebagian jalan tanah,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,keren abisssw,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,kesini buat liat indahnya laut karimun jawa naik bukit dikit 200 meter pas udh diatas lsg ilang capeknya masuknya 10rborg anak kecil ga diitung,negative,negative
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,sebaiknnya jangan kemari air laut pasang jalan menuju pantai bersisian pantai laut menggenangi jalan pasang menutup akses jalan menjadikannya gembur ban kendaraan rawan terjebak pasirnamun umum pantai menarik dikunjungi ayunan gazebo warungwarung disekitar pantai menyediakan cukup camilan berlamalama tempat inijika punya waktu longgar coba mendaki bukit pemandangan laut lepas batubatu karang membentuk bukit menjadikan tempat tidak kalah fotogenik meskipun mencapainya dibutuhkan perjuangan ekstra,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,3,hariluk lukminta,neutral,neutral
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,nature,neutral,neutral
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai annora biasa aja naik bukit deh viewnya bagus karang2 gazebo banyak angin kalo kelamaan masuk angin pernah syuting pake drone sini,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,nyaman sangat cocok berlibur,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai indah motor masuk tepi pantai,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,bening banget inimah beuh,negative,negative
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,3,sayangnya pantai kurang terawat pasirnya kuning terletak sebelah barat ke utara dr karimun jawa bisa menikmati pemandangan dr atas bukit,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,terdapat area santai bangku ayunan lengkap warung makan khas jajanan pantai menariknya annora terdapat bukit tengahtengah laut mendaki melihat laut atas bukit seolah menemukan pantaipantai dari beberapa sisi lereng bukitnya yang mandi pantai disarankan penduduk setempat datang setelah pukul 3 sore air laut surut terdapat daratan baru diagaktengah laut,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,spot pertama dikunjungi menginjakkan kaki pulau karimunjawa pantai nya unik bersih tertata rapi biaya 10korang fasilitas parkir motor mobil luas toilet bersih warung2 penjual makanan minuman tersedia area pantainya ditata rapi banyak bangku duduk kayu ayunan banyak tersebarspot unik lainnya bukit love annora hill sebuah tanjung kecil view lautan lepas tenang disini view lautnya hijau tosca jernih sayangnya diujung sini banyak terdapat sampah bekas pengunjung datang padahal disediakan tempat sampah semoga kedepannya pengunjung sadar kebersihan pantai cantik,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,pantainya bagus naik bukit pemandangannya menyejukkan mata mas2 pemandu kmrin nemenin naik bukit buat foto2 kalo mau beli gorengan warung tanya harga dulu gaes 15 keping gorengan tempe 1 gelas chocolatos masa dihitung 50ribu,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,akses dari jalan utama karimunjawa lalu masuk jalan makadam terus tanah pasir pantai retribusi murah banget sy lupa 510rb masuknyadi pantai tsb bukit naiknya gak jauh kok bukit jg gak terlalu tinggi tp pemandangan oke bgt kl dr atas bukit kata guide lokal kalau mau foto bukit baiknya mulai dr jam12 air terlihat lebih biru tp memang sepertinya kebanyakan pantai karimunjawa garis pantainya naik entah krn pemanasan global krn memang sedang pasang tp dpt cerita jg dr ibu jaga warung pantai anora akses jalan lbh ketutup pasir angin ombak besar bbrp waktu lalupantainya sepi bersih sy kemarin blm sempat ciblon cuaca krg mendukungoh iya salah satu foto untk akses masuk pantai anora ada jalan batu jg jd perlu hati2 jg dlm berkendara,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,belle plage mais trs peu de fond donc impossible de nager,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,good,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,pantai seputar pulau karimunjawa mungkin kurang populer menawarkan pemandangan pantai laut biru bebatuan karang alami mempesonaboleh jadi mungkin transportasi sini memerlukan perjuangan ringan menjadikan pantai kerap sepi lengangbagaimana juga tekad sejenak terombangambing gelombang perahu boat sampai kesini tak membuat orang mau berkungjung sinipadahal saja perjuangan tidak mengkhiaati hasil berakitrakit hulu nikmati pemandangan indah pantai annora kemudian,positive,positive
Pantai Batu Topeng,5,tempatnya super cozyy nikmatin sunset tiduran bantal pinggir pantai suka banget gak terlalu ramai cuma bikin trauma jalan arah pantainya bebatuan curam mau ketawa sama nangis kalau inget hahaha see batu topeng,positive,positive
Pantai Batu Topeng,1,terlalu mengada2 tiket masuknya 25k,negative,negative
Pantai Batu Topeng,5,good place to catch sunset at the island compare to the other beach that i visited this beach has the higher ticket fee of entrance but also has good service ex beanbag included and the beach was not to crowdedbut unfortunately lot of mosquitos came out after the sunset confirmed by the lady beach guard just because of the seasonality hopefully i could visit it again and no more mosquitos,positive,positive
Pantai Batu Topeng,5,mantaap,neutral,neutral
Pantai Batu Topeng,5,clean and beautiful beach,positive,positive
Pantai Batu Topeng,5,pemandangan sangat alami lautnya sangat jernih snorkling langsung pinggir pantai,positive,positive
Pantai Batu Topeng,5,wonderful indonesian,neutral,neutral
Pantai Batu Topeng,5,pantai enak bermain air bersama anakanak ombaknya tenang apabila masuk beach club bayar 25000 per orang,positive,positive
Pantai Batu Topeng,5,beautiful well kept beach this is a private beach and at the time of writing costs 25k rupiah to enter the area which the beach sits on contains a shaded bar set about 15 metres back from the shore the shore is lined with beanbags and umbrellas get here early before 2 and you may have the beach to yourself as i did as the afternoon progresses more people show up,positive,positive
Pantai Batu Topeng,5,katanya pantai 24jm berpesta ria bareng2 tementempatnya nyaman n banyak menu yang tawarkan di sinigood luck,positive,positive
Pantai Batu Topeng,5,beautiful escape,positive,positive
Pantai Batu Topeng,5,tempat sangat indah,positive,positive
Pantai Batu Topeng,5,insanely beautiful beach the hanging palmtrees turquoise water super soft sand incredible and we were almost alone the entrance fee is 25k per person but you get a nice bean bag so you can relax the restaurant offers all kinds of drinks and food it was a bit expensive in my opinion,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,senang banget kesinipantainya bersih bening banget buat foto cocok banget pemandangannya pantai juga bukitdari annora ke pantai gosong naik kapalperahu kecil yang mau renang,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,pantainya bagus cuma aksesnya pakai motor susah kalau pakai mobil,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,di google map pake bahasa thailand sanskerta jadi bingung apa nama pantainya,negative,negative
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,yes please,negative,negative
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,5,syahhduuu bangettt pas kesana sore hari cuaca mendukung hujan asyik buat tongki tongki alami,positive,positive
Pantai Annora ꦥꦤ꧀ꦠꦻꦄꦤꦺꦴꦫ,4,pantainya bersih tiket masuknya 10rb aku kesana bln oktober 2021 pantai nya deket alunalun akan petunjuk arahnya jalannya sebagian udah bagus coraspal sebagian belum aseli pasir pantaidisana warung jual mie gorengan anget kelapa muda kacang metedisana ayunan adanya video to ngga di upload huhuu tempat solat tempat parkirini aku fotonya diatas tebing aslinya lebih buagus naik tebingnya 5 menitan aku saranin pake sepatu baju nyaman hehe,positive,positive
